Distance,Number of Records,Recipient RECORD NUMBER,Vendor_RECORD_NUMBER,Vendor USED RECORD NUMBER,X (Recipient.csv),X,Y (Recipient.csv),Y
15.365503569,1,93,10,10,-79.36817,-79.437501,35.882244,36.097426
6.639016509,1,94,1,1,-79.390331,-79.463841,36.021626,36.097126
3.757562601,1,95,7,7,-79.533176,-79.465885,36.094521,36.093713
9.279098097,1,96,1,1,-79.32858,-79.463841,36.019172,36.097126
8.494823781,1,97,2,2,-79.393702,-79.322221,36.051313,35.942825
11.226186158,1,98,1,1,-79.263401,-79.463841,36.084439,36.097126
5.623857073,1,99,6,6,-79.380871,-79.470681,36.062377,36.099201
7.247410835,1,100,5,5,-79.380871,-79.509386,36.062377,36.076881
5.482017302,1,101,7,7,-79.40078,-79.465885,36.034344,36.093713
11.451160947,1,102,6,6,-79.266656,-79.470681,36.082388,36.099201
14.696751445,1,103,6,6,-79.473425,-79.470681,35.886517,36.099201
17.713994291,1,104,8,8,-79.473425,-79.267657,35.886517,36.081448
13.737311637,1,105,4,4,-79.473425,-79.495735,35.886517,36.084506
14.696751445,1,106,6,6,-79.473425,-79.470681,35.886517,36.099201
4.493922707,1,107,4,4,-79.440886,-79.495735,36.036926,36.084506
7.236604034,1,108,10,10,-79.309636,-79.437501,36.080347,36.097426
13.267281187,1,109,2,2,-79.495034,-79.322221,36.074449,35.942825
9.279263547,1,110,2,2,-79.440918,-79.322221,36.03669,35.942825
6.083082222,1,111,10,10,-79.533734,-79.437501,36.056184,36.097426
10.608941472,1,112,1,1,-79.274282,-79.463841,36.086646,36.097126
14.191360833,1,113,2,2,-79.47928,-79.322221,36.104213,35.942825
11.876221639,1,114,8,8,-79.47756,-79.267657,36.053993,36.081448
12.029448809,1,115,8,8,-79.47672,-79.267657,36.123593,36.081448
11.876221639,1,116,8,8,-79.47756,-79.267657,36.053993,36.081448
10.292542348,1,117,2,2,-79.274282,-79.322221,36.086646,35.942825
3.743222864,1,118,10,10,-79.47756,-79.437501,36.053993,36.097426
9.349034958,1,119,9,9,-79.475978,-79.428373,36.052397,35.922694
5.405958419,1,120,10,10,-79.533563,-79.437501,36.10727,36.097426
14.178016641,1,121,3,3,-79.533734,-79.282459,36.056184,36.02753
1.041956185,1,122,7,7,-79.47928,-79.465885,36.104213,36.093713
3.227083855,1,123,7,7,-79.523259,-79.465885,36.099368,36.093713
7.876813545,1,124,1,1,-79.324007,-79.463841,36.082089,36.097126
3.321005009,1,125,1,1,-79.523259,-79.463841,36.099368,36.097126
2.497908227,1,126,6,6,-79.507947,-79.470681,36.079202,36.099201
14.020010303,1,127,2,2,-79.507947,-79.322221,36.079202,35.942825
11.901622492,1,128,2,2,-79.261294,-79.322221,36.10787,35.942825
12.129362618,1,129,2,2,-79.481821,-79.322221,36.061751,35.942825
1.860967413,1,130,5,5,-79.481821,-79.509386,36.061751,36.076881
1.518600247,1,131,6,6,-79.478792,-79.470681,36.120179,36.099201
4.326458095,1,132,7,7,-79.396601,-79.465885,36.121771,36.093713
9.112608134,1,133,3,3,-79.396601,-79.282459,36.121771,36.02753
5.666196445,1,134,2,2,-79.370332,-79.322221,35.870673,35.942825
12.225639108,1,135,9,9,-79.441745,-79.428373,36.099296,35.922694
6.190712022,1,136,3,3,-79.38907,-79.282459,36.051932,36.02753
7.070743705,1,137,3,3,-79.402761,-79.282459,35.995879,36.02753
4.620550271,1,138,3,3,-79.271231,-79.282459,35.96128,36.02753
4.374875694,1,139,7,7,-79.530242,-79.465885,36.057615,36.093713
6.007491089,1,140,3,3,-79.380057,-79.282459,36.064023,36.02753
3.525420623,1,141,10,10,-79.496919,-79.437501,36.080175,36.097426
11.310489927,1,142,9,9,-79.495156,-79.428373,36.077209,35.922694
3.888677113,1,143,4,4,-79.428197,-79.495735,36.098242,36.084506
12.263863851,1,144,2,2,-79.428197,-79.322221,36.098242,35.942825
0.522509104,1,145,10,10,-79.428197,-79.437501,36.098242,36.097426
2.372852095,1,146,6,6,-79.428197,-79.470681,36.098242,36.099201
1.684594123,1,147,6,6,-79.450955,-79.470681,36.117651,36.099201
3.390485977,1,148,4,4,-79.450955,-79.495735,36.117651,36.084506
13.042329938,1,149,8,8,-79.500993,-79.267657,36.073551,36.081448
11.056005106,1,150,9,9,-79.425352,-79.428373,36.082681,35.922694
0.553364688,1,151,5,5,-79.506106,-79.509386,36.084438,36.076881
1.387440240,1,152,10,10,-79.430334,-79.437501,36.0782,36.097426
11.851745698,1,153,2,2,-79.361999,-79.322221,36.111303,35.942825
7.692857082,1,154,4,4,-79.361999,-79.495735,36.111303,36.084506
2.182321578,1,155,1,1,-79.494433,-79.463841,36.077471,36.097126
3.465174713,1,156,10,10,-79.494433,-79.437501,36.077471,36.097426
2.657630191,1,157,4,4,-79.477154,-79.495735,36.119917,36.084506
10.605067896,1,158,8,8,-79.44054,-79.267657,36.145087,36.081448
12.403657043,1,159,9,9,-79.465965,-79.428373,36.099609,35.922694
0.264801961,1,160,6,6,-79.465965,-79.470681,36.099609,36.099201
2.547523756,1,161,1,1,-79.509218,-79.463841,36.093271,36.097126
2.547523756,1,162,1,1,-79.509218,-79.463841,36.093271,36.097126
6.576083334,1,163,10,10,-79.434648,-79.437501,36.002283,36.097426
11.839089932,1,164,8,8,-79.477682,-79.267657,36.104997,36.081448
2.297247208,1,165,7,7,-79.42492,-79.465885,36.090624,36.093713
6.633772061,1,166,5,5,-79.434648,-79.509386,36.002283,36.076881
11.749372973,1,167,6,6,-79.265384,-79.470681,36.136762,36.099201
2.097928717,1,168,10,10,-79.449749,-79.437501,36.068723,36.097426
13.847646503,1,169,5,5,-79.261477,-79.509386,36.073111,36.076881
9.621445687,1,170,2,2,-79.261477,-79.322221,36.073111,35.942825
6.242631732,1,171,5,5,-79.403915,-79.509386,36.106854,36.076881
15.457054252,1,172,9,9,-79.268202,-79.428373,36.105056,35.922694
4.077747082,1,173,6,6,-79.398757,-79.470681,36.088956,36.099201
10.966000444,1,174,2,2,-79.398757,-79.322221,36.088956,35.942825
10.149540258,1,175,2,2,-79.391439,-79.322221,36.078622,35.942825
14.778188081,1,176,3,3,-79.537451,-79.282459,36.084503,36.02753
8.764200166,1,177,10,10,-79.283959,-79.437501,36.123904,36.097426
16.075757337,1,178,9,9,-79.283959,-79.428373,36.123904,35.922694
15.067376374,1,179,8,8,-79.537451,-79.267657,36.084503,36.081448
13.475973328,1,180,9,9,-79.505884,-79.428373,36.10737,35.922694
3.799109290,1,181,3,3,-79.291833,-79.282459,36.081987,36.02753
2.451349281,1,182,7,7,-79.482811,-79.465885,36.06098,36.093713
4.614251586,1,183,7,7,-79.425801,-79.465885,36.035322,36.093713
1.778633196,1,184,4,4,-79.482811,-79.495735,36.06098,36.084506
4.769857860,1,185,1,1,-79.425801,-79.463841,36.035322,36.097126
1.920710473,1,186,6,6,-79.504975,-79.470681,36.097001,36.099201
8.606717719,1,187,6,6,-79.329013,-79.470681,36.050171,36.099201
14.541214570,1,188,9,9,-79.263683,-79.428373,36.085595,35.922694
7.900397983,1,189,10,10,-79.404919,-79.437501,36.208695,36.097426
12.945184672,1,190,3,3,-79.505908,-79.282459,36.077157,36.02753
11.282383895,1,191,4,4,-79.299097,-79.495735,36.047147,36.084506
4.575208910,1,192,7,7,-79.424582,-79.465885,36.036533,36.093713
2.316723991,1,193,6,6,-79.438265,-79.470681,36.078274,36.099201
2.696174553,1,194,3,3,-79.306399,-79.282459,36.06141,36.02753
14.262688733,1,195,3,3,-79.404919,-79.282459,36.208695,36.02753
13.314159946,1,196,10,10,-79.521649,-79.437501,35.917164,36.097426
11.233629297,1,197,9,9,-79.299097,-79.428373,36.047147,35.922694
8.327107478,1,198,6,6,-79.461613,-79.470681,35.978912,36.099201
10.906319877,1,199,7,7,-79.271544,-79.465885,36.077985,36.093713
10.902516420,1,200,6,6,-79.275685,-79.470681,36.107839,36.099201
2.721688067,1,201,6,6,-79.471535,-79.470681,36.059818,36.099201
12.858010051,1,202,3,3,-79.508564,-79.282459,36.062242,36.02753
10.118106448,1,203,3,3,-79.457203,-79.282459,35.989308,36.02753
7.900397983,1,204,10,10,-79.404919,-79.437501,36.208695,36.097426
6.882737869,1,205,10,10,-79.329013,-79.437501,36.050171,36.097426
2.959331600,1,206,3,3,-79.326681,-79.282459,36.051101,36.02753
0.362430802,1,207,8,8,-79.263683,-79.267657,36.085595,36.081448
10.906319877,1,208,7,7,-79.271544,-79.465885,36.077985,36.093713
6.926800106,1,209,5,5,-79.385851,-79.509386,36.085916,36.076881
2.162531164,1,210,4,4,-79.534195,-79.495735,36.080847,36.084506
11.187369291,1,211,5,5,-79.309092,-79.509386,36.079823,36.076881
10.206573696,1,212,3,3,-79.338043,-79.282459,36.168249,36.02753
9.232427078,1,213,1,1,-79.306832,-79.463841,36.055303,36.097126
2.190297608,1,214,6,6,-79.509218,-79.470681,36.093271,36.099201
3.703759075,1,215,1,1,-79.513587,-79.463841,36.132597,36.097126
11.251404367,1,216,3,3,-79.478467,-79.282459,36.064928,36.02753
12.273435188,1,217,2,2,-79.467655,-79.322221,36.075905,35.942825
5.985585961,1,218,6,6,-79.412029,-79.470681,36.026703,36.099201
8.908068422,1,219,8,8,-79.412029,-79.267657,36.026703,36.081448
20.411479210,1,220,2,2,-79.45001,-79.322221,36.219584,35.942825
3.782744192,1,221,7,7,-79.513587,-79.465885,36.132597,36.093713
10.402098587,1,222,5,5,-79.45001,-79.509386,36.219584,36.076881
6.372608992,1,223,1,1,-79.350346,-79.463841,36.087399,36.097126
4.558056824,1,224,7,7,-79.39447,-79.465885,36.061776,36.093713
4.979979648,1,225,6,6,-79.39447,-79.470681,36.061776,36.099201
1.305175370,1,226,8,8,-79.290531,-79.267657,36.085329,36.081448
9.808467107,1,227,7,7,-79.290531,-79.465885,36.085329,36.093713
3.827537608,1,228,1,1,-79.401964,-79.463841,36.073296,36.097126
0.745017674,1,229,10,10,-79.450312,-79.437501,36.09441,36.097426
4.577171952,1,230,10,10,-79.517703,-79.437501,36.083727,36.097426
1.227904976,1,231,4,4,-79.517703,-79.495735,36.083727,36.084506
4.167047787,1,232,9,9,-79.44546,-79.428373,35.981393,35.922694
5.346121994,1,233,10,10,-79.363228,-79.437501,36.048617,36.097426
8.445327531,1,234,7,7,-79.321384,-79.465885,36.129918,36.093713
10.196348550,1,235,1,1,-79.281487,-79.463841,36.089228,36.097126
17.399683190,1,236,10,10,-79.532133,-79.437501,35.85754,36.097426
5.690660658,1,237,9,9,-79.327111,-79.428373,35.930364,35.922694
13.695220443,1,238,7,7,-79.327111,-79.465885,35.930364,36.093713
7.805440111,1,239,4,4,-79.363228,-79.495735,36.048617,36.084506
12.927759080,1,240,2,2,-79.321384,-79.322221,36.129918,35.942825
14.043307860,1,241,3,3,-79.406303,-79.282459,36.20444,36.02753
8.895724619,1,242,2,2,-79.371997,-79.322221,36.065107,35.942825
3.067654497,1,243,10,10,-79.489054,-79.437501,36.082081,36.097426
10.300746712,1,244,7,7,-79.281487,-79.465885,36.089228,36.093713
9.179472354,1,245,1,1,-79.299864,-79.463841,36.106894,36.097126
11.405409158,1,246,2,2,-79.299864,-79.322221,36.106894,35.942825
15.373139608,1,247,9,9,-79.38776,-79.428373,36.142741,35.922694
10.575427475,1,248,8,8,-79.45621,-79.267657,36.067335,36.081448
4.706550146,1,249,3,3,-79.278116,-79.282459,36.095554,36.02753
15.564799021,1,250,2,2,-79.529798,-79.322221,36.093,35.942825
5.811993657,1,251,6,6,-79.399691,-79.470681,36.037701,36.099201
8.662815761,1,252,1,1,-79.318167,-79.463841,36.054054,36.097126
0.590022256,1,253,8,8,-79.262872,-79.267657,36.073835,36.081448
14.418999003,1,254,8,8,-79.438847,-79.267657,35.925351,36.081448
3.828976788,1,255,7,7,-79.530449,-79.465885,36.075052,36.093713
2.441935739,1,256,10,10,-79.48004,-79.437501,36.089218,36.097426
3.798828043,1,257,3,3,-79.350427,-79.282459,36.02858,36.02753
1.909410533,1,258,7,7,-79.438699,-79.465885,36.11048,36.093713
2.680514304,1,259,1,1,-79.415855,-79.463841,36.098367,36.097126
0.614155049,1,260,9,9,-79.438847,-79.428373,35.925351,35.922694
12.001575583,1,261,9,9,-79.465885,-79.428373,36.093713,35.922694
11.128382860,1,262,9,9,-79.495034,-79.428373,36.074449,35.922694
2.045690876,1,263,4,4,-79.530449,-79.495735,36.075052,36.084506
3.381501043,1,264,3,3,-79.262872,-79.282459,36.073835,36.02753
8.840367982,1,265,8,8,-79.425678,-79.267657,36.073869,36.081448
2.215741990,1,266,5,5,-79.491466,-79.509386,36.105492,36.076881
13.420948996,1,267,2,2,-79.48004,-79.322221,36.089218,35.942825
3.804381962,1,268,10,10,-79.503147,-79.437501,36.112203,36.097426
11.732003022,1,269,2,2,-79.479874,-79.322221,36.054898,35.942825
1.948132465,1,270,6,6,-79.438699,-79.470681,36.11048,36.099201
9.719056361,1,271,10,10,-79.275234,-79.437501,36.148461,36.097426
8.365773408,1,272,3,3,-79.275234,-79.282459,36.148461,36.02753
11.108451465,1,273,1,1,-79.275234,-79.463841,36.148461,36.097126
8.379893244,1,274,3,3,-79.41966,-79.282459,36.076557,36.02753
7.244002968,1,275,9,9,-79.41712,-79.428373,36.027135,35.922694
17.521740879,1,276,7,7,-79.277248,-79.465885,35.891208,36.093713
7.244002968,1,277,9,9,-79.41712,-79.428373,36.027135,35.922694
4.659528315,1,278,10,10,-79.50198,-79.437501,36.140256,36.097426
4.398532540,1,279,5,5,-79.50198,-79.509386,36.140256,36.076881
10.512863545,1,280,1,1,-79.320196,-79.463841,35.998843,36.097126
9.452474782,1,281,10,10,-79.320196,-79.437501,35.998843,36.097426
12.444432761,1,282,9,9,-79.457233,-79.428373,36.101274,35.922694
2.826322561,1,283,7,7,-79.516311,-79.465885,36.097297,36.093713
12.110042164,1,284,2,2,-79.458296,-79.322221,36.079208,35.942825
2.071818183,1,285,10,10,-79.424394,-79.437501,36.125478,36.097426
12.144638146,1,286,2,2,-79.406277,-79.322221,36.104906,35.942825
3.113796610,1,287,7,7,-79.412065,-79.465885,36.081918,36.093713
11.664360103,1,288,4,4,-79.490509,-79.495735,35.915749,36.084506
12.727526740,1,289,6,6,-79.488461,-79.470681,35.915567,36.099201
2.177954382,1,290,4,4,-79.46058,-79.495735,36.07086,36.084506
10.480246832,1,291,7,7,-79.279296,-79.465885,36.077367,36.093713
12.849739075,1,292,5,5,-79.279296,-79.509386,36.077367,36.076881
1.646792194,1,293,6,6,-79.499004,-79.470681,36.105859,36.099201
1.614403672,1,294,6,6,-79.441765,-79.470681,36.099162,36.099201
5.733899222,1,295,4,4,-79.421148,-79.495735,36.141562,36.084506
2.813174582,1,296,7,7,-79.516223,-79.465885,36.095464,36.093713
12.431583091,1,297,4,4,-79.273173,-79.495735,36.088965,36.084506
1.735016860,1,298,6,6,-79.469146,-79.470681,36.074122,36.099201
2.579861608,1,299,5,5,-79.469324,-79.509386,36.095478,36.076881
8.073843574,1,300,10,10,-79.30116,-79.437501,36.058558,36.097426
3.535725260,1,301,6,6,-79.530778,-79.470681,36.115355,36.099201
11.624502601,1,302,3,3,-79.4706,-79.282459,36.099447,36.02753
3.337983315,1,303,10,10,-79.496753,-79.437501,36.090997,36.097426
10.242593743,1,304,2,2,-79.268004,-79.322221,36.084423,35.942825
11.946311734,1,305,2,2,-79.265578,-79.322221,36.109536,35.942825
4.217067569,1,306,10,10,-79.510965,-79.437501,36.083267,36.097426
11.039696498,1,307,9,9,-79.412065,-79.428373,36.081918,35.922694
6.051989565,1,308,2,2,-79.384998,-79.322221,36.014173,35.942825
10.453350367,1,309,2,2,-79.422948,-79.322221,36.07029,35.942825
8.909474923,1,310,8,8,-79.406673,-79.267657,36.018258,36.081448
16.168245481,1,311,5,5,-79.27458,-79.509386,36.213993,36.076881
6.456761673,1,312,6,6,-79.417124,-79.470681,36.182033,36.099201
11.833080724,1,313,9,9,-79.300612,-79.428373,36.059227,35.922694
12.707628559,1,314,8,8,-79.494036,-79.267657,36.062958,36.081448
13.910627657,1,315,9,9,-79.268211,-79.428373,36.076771,35.922694
0.116254845,1,316,9,9,-79.43045,-79.428373,35.922735,35.922694
12.601192462,1,317,9,9,-79.422214,-79.428373,36.104994,35.922694
11.777751299,1,318,9,9,-79.30116,-79.428373,36.058558,35.922694
12.204302094,1,319,2,2,-79.442809,-79.322221,36.090075,35.942825
0.610357866,1,320,8,8,-79.278336,-79.267657,36.08333,36.081448
12.001575583,1,321,9,9,-79.465885,-79.428373,36.093713,35.922694
0.410029321,1,322,1,1,-79.4706,-79.463841,36.099447,36.097126
9.717909414,1,323,5,5,-79.387852,-79.509386,36.177596,36.076881
4.921069065,1,324,1,1,-79.403289,-79.463841,36.045389,36.097126
1.944281096,1,325,8,8,-79.265578,-79.267657,36.109536,36.081448
2.753870799,1,326,6,6,-79.429396,-79.470681,36.077399,36.099201
4.698177758,1,327,7,7,-79.402081,-79.465885,36.049402,36.093713
10.031333637,1,328,8,8,-79.439662,-79.267657,36.123429,36.081448
7.975082824,1,329,8,8,-79.403289,-79.267657,36.045389,36.081448
11.851877941,1,330,3,3,-79.375154,-79.282459,36.18184,36.02753
13.813615273,1,331,9,9,-79.532728,-79.428373,36.103914,35.922694
7.178928680,1,332,1,1,-79.383519,-79.463841,36.016023,36.097126
0.722502590,1,333,5,5,-79.518221,-79.509386,36.069243,36.076881
2.109257227,1,334,7,7,-79.434799,-79.465885,36.076372,36.093713
3.752014011,1,335,1,1,-79.530588,-79.463841,36.090839,36.097126
2.750988885,1,336,10,10,-79.467094,-79.437501,36.065597,36.097426
13.587549347,1,337,8,8,-79.510965,-79.267657,36.083267,36.081448
11.270987369,1,338,3,3,-79.473528,-79.282459,36.079926,36.02753
3.685381813,1,339,2,2,-79.359462,-79.322221,35.986827,35.942825
5.462780863,1,340,5,5,-79.420063,-79.509386,36.109139,36.076881
10.471041335,1,341,1,1,-79.2769,-79.463841,36.085119,36.097126
8.905279751,1,342,5,5,-79.417124,-79.509386,36.182033,36.076881
14.802841813,1,343,2,2,-79.421148,-79.322221,36.141562,35.942825
1.056210758,1,344,10,10,-79.419707,-79.437501,36.102617,36.097426
10.914869854,1,345,3,3,-79.469146,-79.282459,36.074122,36.02753
12.965643473,1,346,9,9,-79.351526,-79.428373,36.099741,35.922694
12.927246936,1,347,5,5,-79.281279,-79.509386,36.10891,36.076881
4.217067569,1,348,10,10,-79.510965,-79.437501,36.083267,36.097426
7.023943599,1,349,1,1,-79.359294,-79.463841,36.040629,36.097126
3.737264612,1,350,1,1,-79.42535,-79.463841,36.052882,36.097126
2.413616892,1,351,3,3,-79.300612,-79.282459,36.059227,36.02753
5.879383045,1,352,3,3,-79.38759,-79.282459,36.024249,36.02753
5.793535351,1,353,6,6,-79.400571,-79.470681,36.037407,36.099201
12.748295925,1,354,3,3,-79.496753,-79.282459,36.090997,36.02753
4.247708607,1,355,7,7,-79.392565,-79.465885,36.077337,36.093713
2.559749761,1,356,7,7,-79.422214,-79.465885,36.104994,36.093713
13.764808703,1,357,5,5,-79.26345,-79.509386,36.090308,36.076881
1.973630020,1,358,7,7,-79.491542,-79.465885,36.113363,36.093713
16.227850683,1,359,2,2,-79.436864,-79.322221,36.158615,35.942825
3.840952307,1,360,4,4,-79.427821,-79.495735,36.093336,36.084506
2.381671801,1,361,10,10,-79.39486,-79.437501,36.096465,36.097426
8.266736299,1,362,4,4,-79.347818,-79.495735,36.089478,36.084506
3.376469337,1,363,7,7,-79.518221,-79.465885,36.069243,36.093713
5.357265864,1,364,10,10,-79.375757,-79.437501,36.038094,36.097426
12.132416223,1,365,8,8,-79.483579,-79.267657,36.101086,36.081448
14.398242363,1,366,3,3,-79.527112,-79.282459,36.09314,36.02753
16.195356284,1,367,2,2,-79.532728,-79.322221,36.103914,35.942825
5.012052876,1,368,10,10,-79.527112,-79.437501,36.09314,36.097426
3.757189114,1,369,10,10,-79.381369,-79.437501,36.067447,36.097426
6.287223532,1,370,5,5,-79.402081,-79.509386,36.049402,36.076881
6.442164007,1,371,3,3,-79.395716,-79.282459,36.044983,36.02753
3.291656976,1,372,7,7,-79.408912,-79.465885,36.105971,36.093713
8.804661563,1,373,9,9,-79.412875,-79.428373,36.049499,35.922694
3.489533266,1,374,4,4,-79.434198,-79.495735,36.075734,36.084506
4.532605035,1,375,5,5,-79.44728,-79.509386,36.119127,36.076881
2.696387926,1,376,6,6,-79.42543,-79.470681,36.112846,36.099201
13.140073470,1,377,9,9,-79.42543,-79.428373,36.112846,35.922694
14.058846107,1,378,9,9,-79.2769,-79.428373,36.085119,35.922694
2.220714111,1,379,3,3,-79.284227,-79.282459,36.059637,36.02753
6.681040338,1,380,6,6,-79.429985,-79.470681,36.008281,36.099201
11.445140350,1,381,3,3,-79.469324,-79.282459,36.095478,36.02753
6.740575111,1,382,8,8,-79.375757,-79.267657,36.038094,36.081448
1.527068401,1,383,5,5,-79.530588,-79.509386,36.090839,36.076881
2.028102792,1,384,1,1,-79.427821,-79.463841,36.093336,36.097126
10.742032252,1,385,2,2,-79.308377,-79.322221,36.097883,35.942825
9.306153680,1,386,3,3,-79.427821,-79.282459,36.093336,36.02753
1.944281096,1,387,8,8,-79.265578,-79.267657,36.109536,36.081448
4.127763710,1,388,4,4,-79.423457,-79.495735,36.097048,36.084506
10.770824082,1,389,8,8,-79.457103,-79.267657,36.110863,36.081448
12.100440118,1,390,9,9,-79.399902,-79.428373,36.096294,35.922694
1.779172324,1,391,10,10,-79.412065,-79.437501,36.081918,36.097426
5.232428751,1,392,6,6,-79.413278,-79.470681,36.039356,36.099201
13.513241245,1,393,6,6,-79.27458,-79.470681,36.213993,36.099201
12.216623183,1,394,9,9,-79.290708,-79.428373,36.059998,35.922694
